ID,Run,Calmness,Interest,Physical state,Mental state,Concentration,Eye fatigue,Drowsiness,Level of easiness,Accuracy,Bạn có góp ý và đề xuất gì thêm cho thí nghiệm không?
F10,1,4,4,4,4,4,4,4,4,3,
F10,2,4,4,4,4,4,4,4,4,4,
F10,3,4,4,4,4,4,4,4,4,4,
F11,1,4,4,3,4,4,3,4,2,2,
F11,2,5,4,3,4,3,3,3,4,3,
F11,3,5,5,4,4,4,4,5,4,4,
F12,1,5,5,5,5,4,5,4,5,4,
F12,2,5,5,5,4,5,4,4,5,4,
F12,3,5,4,5,4,4,4,4,5,4,
F13,1,5,5,4,3,2,2,2,5,4,
F13,2,4,4,3,4,4,4,5,3,3,
F13,3,1,1,1,1,1,4,5,3,2,
F14,1,4,3,3,4,2,3,4,3,3,
F14,2,2,3,1,1,2,3,5,3,2,
F15,1,4,4,4,4,4,4,4,3,3,
F15,2,4,4,4,4,4,4,4,4,4,
F15,3,4,4,4,4,4,4,4,4,4,
F16,1,5,4,5,5,4,5,4,3,3,
F16,2,5,5,5,5,5,5,5,3,3,
F18,1,5,4,3,4,3,3,3,4,3,Đôi lúc mất tập trung do các tác nhân bên ngoài thì âm thanh noise có tác động 1 phần để lấy lại sự tâm trung vào phần thí nghiệm
F18,2,4,4,4,4,4,4,4,4,4,
F18,3,5,5,5,5,5,4,5,3,3,
F20,1,5,3,4,4,5,4,5,5,5,cho khoang tg nghi ngoi tang (15 - 30) va cho sub cu dong co the 1 ti
F20,2,4,5,4,3,4,4,4,4,5,
F20,3,3,3,3,4,4,3,3,4,4,
F22,1,4,3,5,3,3,1,5,4,3,
F22,2,3,3,4,3,4,3,3,4,3,
F24,1,5,4,4,5,3,4,3,3,3,
F24,2,5,4,5,5,4,5,4,3,3,
F25,1,4,3,3,3,4,2,3,3,3,
F25,2,4,3,4,4,4,2,2,4,4,
F26,1,5,4,4,5,3,4,3,3,3,
F26,2,5,4,5,5,4,5,4,3,3,
F27,1,4,3,2,1,2,3,5,3,2,
F27,2,2,1,1,1,1,4,5,3,2,
F29,1,5,3,3,5,5,4,5,5,3,
F29,2,4,4,4,3,4,4,5,4,4,
F1,1,4,2,3,3,2,3,1,4,4,
F1,2,4,3,3,2,1,2,2,3,3,
F1,3,4,2,2,1,1,2,2,3,3,
F2,1,3,3,3,3,3,3,2,4,4,
F2,2,3,3,3,3,3,2,3,3,3,
F2,3,3,3,3,3,3,3,3,3,3,
F3,1,4,5,3,4,5,3,4,5,3,
F3,2,4,5,3,5,4,3,4,5,4,
F3,3,4,4,3,4,4,3,3,4,4,
F4,1,5,4,5,5,5,2,2,5,4,
F4,2,5,4,5,5,4,2,2,5,4,
F4,3,5,4,4,4,4,2,2,5,4,
F5,1,2,4,4,3,2,3,4,4,3,
F5,2,2,4,4,3,3,5,5,4,4,
F5,3,1,4,4,4,3,5,5,3,4,
F6,1,2,4,4,3,2,4,4,4,4,Không
F6,2,2,4,4,3,3,5,5,4,4,Không
F6,3,2,4,4,4,3,5,5,4,4,
F7,1,2,4,4,3,2,4,4,4,4,
F7,2,2,4,4,3,3,5,5,4,4,
F7,3,2,4,4,4,3,5,5,4,4,
F8,1,3,3,3,3,3,3,2,4,4,
F8,2,3,3,3,3,3,3,3,4,4,
F8,3,3,3,3,3,3,3,3,3,3,
F9,1,4,3,4,3,4,4,3,4,3,
F9,2,2,2,3,3,3,3,2,4,3,
F9,3,2,2,2,3,3,2,2,3,3,
